Date,PolarityScore,SubjectivityScore
18/11/2018,0.075,0.386
19/11/2018,0.06,0.385
20/11/2018,0.063,0.377
21/11/2018,0.054,0.386
22/11/2018,0.055,0.395
23/11/2018,0.078,0.387
24/11/2018,0.063,0.407
25/11/2018,0.071,0.406
26/11/2018,0.069,0.39
27/11/2018,0.057,0.379
28/11/2018,0.055,0.382
29/11/2018,0.071,0.392
30/11/2018,0.076,0.377
01/12/2018,0.068,0.362
02/12/2018,0.061,0.374
03/12/2018,0.072,0.398
04/12/2018,0.057,0.384
05/12/2018,0.045,0.385
06/12/2018,0.039,0.374
07/12/2018,0.057,0.386
08/12/2018,0.059,0.381
09/12/2018,0.065,0.391
10/12/2018,0.05,0.39
11/12/2018,0.055,0.394
12/12/2018,0.073,0.396
13/12/2018,0.09,0.396
14/12/2018,0.071,0.384
15/12/2018,0.07,0.376
16/12/2018,0.08,0.392
17/12/2018,0.084,0.388
18/12/2018,0.057,0.393
19/12/2018,0.07,0.389
20/12/2018,0.057,0.375
21/12/2018,0.052,0.379
22/12/2018,0.059,0.401
23/12/2018,0.067,0.385
24/12/2018,0.06,0.398
25/12/2018,0.071,0.397
26/12/2018,0.058,0.38
27/12/2018,0.07,0.379
28/12/2018,0.083,0.4
29/12/2018,0.068,0.381
30/12/2018,0.077,0.422
31/12/2018,0.081,0.385
01/01/2019,0.073,0.388
02/01/2019,0.041,0.384
03/01/2019,0.052,0.395
04/01/2019,0.051,0.39
05/01/2019,0.061,0.4
06/01/2019,0.06,0.377
07/01/2019,0.073,0.389
08/01/2019,0.065,0.394
09/01/2019,0.063,0.386
10/01/2019,0.067,0.391
11/01/2019,0.065,0.377
12/01/2019,0.095,0.405
13/01/2019,0.075,0.409
14/01/2019,0.053,0.374
15/01/2019,0.076,0.384
16/01/2019,0.068,0.383
17/01/2019,0.069,0.392
18/01/2019,0.056,0.377
19/01/2019,0.072,0.386
20/01/2019,0.057,0.376
21/01/2019,0.07,0.383
22/01/2019,0.052,0.373
23/01/2019,0.069,0.38
24/01/2019,0.054,0.376
25/01/2019,0.069,0.38
26/01/2019,0.084,0.409
27/01/2019,0.088,0.394
28/01/2019,0.054,0.386
29/01/2019,0.059,0.378
30/01/2019,0.055,0.366
31/01/2019,0.073,0.387
01/02/2019,0.072,0.369
02/02/2019,0.063,0.391
03/02/2019,0.091,0.375
04/02/2019,0.068,0.374
05/02/2019,0.059,0.383
06/02/2019,0.068,0.384
07/02/2019,0.075,0.378
08/02/2019,0.046,0.371
09/02/2019,0.064,0.39
10/02/2019,0.069,0.4
11/02/2019,0.044,0.383
12/02/2019,0.045,0.379
13/02/2019,0.068,0.379
14/02/2019,0.068,0.396
15/02/2019,0.047,0.377
16/02/2019,0.051,0.382
